ItemId,ItemName,TargetClass,SlotType,IconName,CraftLevel,Grade,Attack,Defense,Health,Description
1411,마법사 무기 1,Mage,Weapon,Equipment1_0,10,Common,4,0,0,
1441,마법사 투구 1,Mage,Head,Equipment1_1,10,Common,0,1,15,
1451,마법사 방어구 1,Mage,Body,Equipment1_2,10,Common,0,2,30,
1421,마법사 장갑 1,Mage,Hands,Equipment1_3,10,Common,1,0,0,
1461,마법사 하의 1,Mage,Legs,Equipment1_4,10,Common,0,1,20,
1431,마법사 장신구 1,Mage,Accessory,Equipment1_5,10,Common,2,0,10,
1111,전사 무기 1,Warrior,Weapon,Equipment1_6,10,Common,4,0,0,
1141,전사 투구 1,Warrior,Head,Equipment1_7,10,Common,0,1,15,
1151,전사 방어구 1,Warrior,Body,Equipment1_8,10,Common,0,2,30,
1121,전사 장갑 1,Warrior,Hands,Equipment1_9,10,Common,1,0,0,
1161,전사 하의 1,Warrior,Legs,Equipment1_10,10,Common,0,1,20,
1131,전사 장신구 1,Warrior,Accessory,Equipment1_11,10,Common,2,0,10,
1611,도적 무기 1,Rogue,Weapon,Equipment1_12,10,Common,4,0,0,
1641,도적 투구 1,Rogue,Head,Equipment1_13,10,Common,0,1,15,
1651,도적 방어구 1,Rogue,Body,Equipment1_14,10,Common,0,2,30,
1621,도적 장갑 1,Rogue,Hands,Equipment1_15,10,Common,1,0,0,
1661,도적 하의 1,Rogue,Legs,Equipment1_16,10,Common,0,1,20,
1631,도적 장신구 1,Rogue,Accessory,Equipment1_17,10,Common,2,0,10,
1511,힐러 무기 1,Support,Weapon,Equipment1_18,10,Common,4,0,0,
1541,힐러 투구 1,Support,Head,Equipment1_19,10,Common,0,1,15,
1551,힐러 방어구 1,Support,Body,Equipment1_20,10,Common,0,2,30,
1521,힐러 장갑 1,Support,Hands,Equipment1_21,10,Common,1,0,0,
1561,힐러 하의 1,Support,Legs,Equipment1_22,10,Common,0,1,20,
1531,힐러 장신구 1,Support,Accessory,Equipment1_23,10,Common,2,0,10,
1211,궁수 무기 1,Marksman,Weapon,Equipment1_24,10,Common,4,0,0,
1241,궁수 투구 1,Marksman,Head,Equipment1_25,10,Common,0,1,15,
