stageId,resourceId,amountPerSecond
1,GOLD,1
1,EXP,0.5
1,UPGRADE,0.01
1,EQUIPBOX,0.01
2,GOLD,1.2
2,EXP,0.6
2,UPGRADE,0.01
2,EQUIPBOX,0.01
3,GOLD,1.4
3,EXP,0.7
3,UPGRADE,0.02
3,EQUIPBOX,0.02
4,GOLD,1.6
4,EXP,0.8
4,UPGRADE,0.02
4,EQUIPBOX,0.02
5,GOLD,1.8
5,EXP,0.9
5,UPGRADE,0.03
5,EQUIPBOX,0.03
6,GOLD,2
6,EXP,1
6,UPGRADE,0.03
6,EQUIPBOX,0.03
7,GOLD,2.2
7,EXP,1.1
7,UPGRADE,0.04
7,EQUIPBOX,0.04
8,GOLD,2.4
8,EXP,1.2
8,UPGRADE,0.04
8,EQUIPBOX,0.04
9,GOLD,2.6
9,EXP,1.3
9,UPGRADE,0.05
9,EQUIPBOX,0.05
10,GOLD,2.8
10,EXP,1.4
10,UPGRADE,0.05
10,EQUIPBOX,0.05
11,GOLD,3
11,EXP,1.5
11,UPGRADE,0.06
11,EQUIPBOX,0.06
12,GOLD,3.2
12,EXP,1.6
12,UPGRADE,0.06
12,EQUIPBOX,0.06
13,GOLD,3.4
13,EXP,1.7
13,UPGRADE,0.07
13,EQUIPBOX,0.07
14,GOLD,3.6
14,EXP,1.8
14,UPGRADE,0.07
14,EQUIPBOX,0.07
15,GOLD,5
15,EXP,2.5
15,UPGRADE,1
15,EQUIPBOX,1
20,GOLD,10
20,EXP,5
20,UPGRADE,2
20,EQUIPBOX,2
