stageId,resourceId,amount
1,GOLD,100
1,EXP,50
1,UPGRADE,2
1,GEM,10
2,GOLD,120
2,EXP,60
2,UPGRADE,2
2,GEM,15
3,GOLD,140
3,EXP,70
3,UPGRADE,3
3,GEM,20
4,GOLD,160
4,EXP,80
4,UPGRADE,3
4,GEM,25
5,GOLD,180
5,EXP,90
5,UPGRADE,4
5,GEM,30
6,GOLD,200
6,EXP,100
6,UPGRADE,4
6,GEM,35
7,GOLD,220
7,EXP,110
7,UPGRADE,5
7,GEM,40
8,GOLD,240
8,EXP,120
8,UPGRADE,5
8,GEM,45
9,GOLD,260
9,EXP,130
9,UPGRADE,6
9,GEM,50
10,GOLD,280
10,EXP,140
10,UPGRADE,6
10,GEM,55
11,GOLD,300
11,EXP,150
11,UPGRADE,7
11,GEM,60
12,GOLD,320
12,EXP,160
12,UPGRADE,7
12,GEM,65
13,GOLD,340
13,EXP,180
13,UPGRADE,8
13,GEM,70
14,GOLD,360
14,EXP,190
14,UPGRADE,8
14,GEM,75
15,GOLD,500
15,EXP,300
15,UPGRADE,10
15,GEM,100
20,GOLD,800
20,EXP,500
20,UPGRADE,30
20,GEM,300
