stageId,slotNumber,enemyId,enemyLevel,maxHp
1,5,Enemy_Bat,1,100
1,12,Enemy_Bat,1,100
2,9,Enemy_Skeleton,2,200
2,11,Enemy_Bat,2,200
2,25,Enemy_Bat,2,200
3,2,Enemy_Bat,3,300
3,19,Enemy_Skeleton,3,300
3,24,Enemy_Skeleton,3,300
4,5,Enemy_Bat,4,400
4,12,Enemy_EvilMage,4,400
4,16,Enemy_Skeleton,4,400
4,24,Enemy_Bat,4,400
5,1,Enemy_EvilMage,5,500
5,12,Enemy_Bat,5,500
5,17,Enemy_Skeleton,5,500
5,29,Enemy_Skeleton,5,500
6,10,Enemy_EvilMage,6,600
6,11,Enemy_EvilMage,6,600
6,17,Enemy_Skeleton,6,600
6,18,Enemy_Skeleton,6,600
7,16,Enemy_EvilMage,7,700
7,17,Enemy_EvilMage,7,700
7,18,Enemy_EvilMage,7,700
7,19,Enemy_EvilMage,7,700
7,6,Enemy_Boss_Orc,8,1000
