stageId,act,mapName,fieldName
1,1,초록빛 숲,BATTLEFIELD_FOREST_01
2,1,초록빛 숲,BATTLEFIELD_FOREST_01
3,1,폭포 숲,BATTLEFIELD_FOREST_02
4,1,폭포 숲,BATTLEFIELD_FOREST_02
5,1,바위 숲,BATTLEFIELD_FOREST_03
6,2,건조한 사막,BATTLEFIELD_DESERT_01
7,2,건조한 사막,BATTLEFIELD_DESERT_01
8,2,메마른 사막,BATTLEFIELD_DESERT_02
9,2,메마른 사막,BATTLEFIELD_DESERT_02
10,2,황폐한 사막,BATTLEFIELD_DESERT_03
11,3,눈꽃 설원,BATTLEFIELD_SNOW_01
12,3,눈꽃 설원,BATTLEFIELD_SNOW_01
13,3,빙결 설원,BATTLEFIELD_SNOW_02
14,3,빙결 설원,BATTLEFIELD_SNOW_02
15,3,혹한의 설원,BATTLEFIELD_SNOW_03
20,3,히든 웜,BATTLEFIELD_DESERT_03
